			seq id	start	end	size	←reads	reads→	gene	description	source
('*', 'evidence/MC_SIDE_1_147.html')	('*', 'evidence/MC_SIDE_2_147.html')	('÷', 'evidence/MC_PLOT_147.html')	PA3565	2327	2369	43	2 [0]	[1] 2	N_A/–	transcriptional regulator/–	SRR6977054
('*', 'evidence/MC_SIDE_1_148.html')	('*', 'evidence/MC_SIDE_2_148.html')	('÷', 'evidence/MC_PLOT_148.html')	PA3565	2420	2522	103	2 [1]	[0] 2	N_A/–	transcriptional regulator/–	SRR6977054
('*', 'evidence/MC_SIDE_1_149.html')	('*', 'evidence/MC_SIDE_2_149.html')	('÷', 'evidence/MC_PLOT_149.html')	PA3565	2700	2721	22	2 [0]	[0] NA	N_A/–	transcriptional regulator/–	SRR6977054
('*', 'evidence/MC_SIDE_1_150.html')	('*', 'evidence/MC_SIDE_2_150.html')	('÷', 'evidence/MC_PLOT_150.html')	PA4601	1	4	4	NA [0]	[1] 6	–/morA	–/motility regulator	SRR6977054
('*', 'evidence/MC_SIDE_1_151.html')	('*', 'evidence/MC_SIDE_2_151.html')	('÷', 'evidence/MC_PLOT_151.html')	PA4601	1309	1329	21	2 [0]	[1] 3	morA	motility regulator	SRR6977054
('*', 'evidence/MC_SIDE_1_152.html')	('*', 'evidence/MC_SIDE_2_152.html')	('÷', 'evidence/MC_PLOT_152.html')	PA4601	1709	1748	40	2 [1]	[1] 3	morA	motility regulator	SRR6977054
('*', 'evidence/MC_SIDE_1_153.html')	('*', 'evidence/MC_SIDE_2_153.html')	('÷', 'evidence/MC_PLOT_153.html')	PA4601	1997	2027	31	2 [1]	[0] 3	morA	motility regulator	SRR6977054
('*', 'evidence/MC_SIDE_1_154.html')	('*', 'evidence/MC_SIDE_2_154.html')	('÷', 'evidence/MC_PLOT_154.html')	PA4601	2156	2205	50	2 [1]	[0] 3	morA	motility regulator	SRR6977054
('*', 'evidence/MC_SIDE_1_155.html')	('*', 'evidence/MC_SIDE_2_155.html')	('÷', 'evidence/MC_PLOT_155.html')	PA4601	2434	2450	17	2 [0]	[1] 2	morA	motility regulator	SRR6977054
('*', 'evidence/MC_SIDE_1_156.html')	('*', 'evidence/MC_SIDE_2_156.html')	('÷', 'evidence/MC_PLOT_156.html')	PA4601	2903	2948	46	3 [1]	[1] 3	morA	motility regulator	SRR6977054
('*', 'evidence/MC_SIDE_1_157.html')	('*', 'evidence/MC_SIDE_2_157.html')	('÷', 'evidence/MC_PLOT_157.html')	PA4601	3302	3409	108	2 [0]	[0] 2	morA	motility regulator	SRR6977054
('*', 'evidence/MC_SIDE_1_158.html')	('*', 'evidence/MC_SIDE_2_158.html')	('÷', 'evidence/MC_PLOT_158.html')	PA4601	3680	3717	38	3 [1]	[1] 2	morA	motility regulator	SRR6977054
('*', 'evidence/MC_SIDE_1_159.html')	('*', 'evidence/MC_SIDE_2_159.html')	('÷', 'evidence/MC_PLOT_159.html')	PA4601	4462	4484	23	2 [1]	[1] 3	morA	motility regulator	SRR6977054
('*', 'evidence/MC_SIDE_1_160.html')	('*', 'evidence/MC_SIDE_2_160.html')	('÷', 'evidence/MC_PLOT_160.html')	PA4601	4855	4892	38	3 [1]	[0] 2	morA	motility regulator	SRR6977054
('*', 'evidence/MC_SIDE_1_161.html')	('*', 'evidence/MC_SIDE_2_161.html')	('÷', 'evidence/MC_PLOT_161.html')	PA4601	5338	5417	80	4 [1]	[1] 2	morA/–	motility regulator/–	SRR6977054
('*', 'evidence/MC_SIDE_1_162.html')	('*', 'evidence/MC_SIDE_2_162.html')	('÷', 'evidence/MC_PLOT_162.html')	PA4601	5485	5565	81	2 [1]	[1] 2	morA/–	motility regulator/–	SRR6977054
('*', 'evidence/MC_SIDE_1_163.html')	('*', 'evidence/MC_SIDE_2_163.html')	('÷', 'evidence/MC_PLOT_163.html')	PA4601	5628	5676	49	2 [0]	[1] 3	morA/–	motility regulator/–	SRR6977054
('*', 'evidence/MC_SIDE_1_164.html')	('*', 'evidence/MC_SIDE_2_164.html')	('÷', 'evidence/MC_PLOT_164.html')	PA4601	5853	5867	15	2 [1]	[1] 3	morA/–	motility regulator/–	SRR6977054
('*', 'evidence/MC_SIDE_1_165.html')	('*', 'evidence/MC_SIDE_2_165.html')	('÷', 'evidence/MC_PLOT_165.html')	PA4601	5918	5948	31	2 [0]	[0] 2	morA/–	motility regulator/–	SRR6977054
('*', 'evidence/MC_SIDE_1_166.html')	('*', 'evidence/MC_SIDE_2_166.html')	('÷', 'evidence/MC_PLOT_166.html')	PA4601	6008	6048	41	2 [1]	[0] NA	morA/–	motility regulator/–	SRR6977054
